sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
77488017,41.642666,-121.65816,1760.3,3816.44,0.38,2.16,43.29,-152.71,41.6425439,-121.6592677,1761.54
2713 ngs,41.674835,-121.65667,1722.7,3821.9,1.74,2,34.27,-156.32,41.6747124,-121.6577777,1723.91
27130266,41.674999,-121.65667,1722.7,3821.89,1.57,2,34.24,-156.51,41.6748764,-121.6577777,1723.91
2713 ngs,41.693832,-121.65667,1542,3858.8,0.08,1.2,13.76,-159,41.6937091,-121.6577777,1543.18
77482235,41.568668,-121.6555,1959.3,3773.94,1.41,2.86,68.77,-147.81,41.5685471,-121.6566077,1960.56
77485017,41.634499,-121.65517,1810.1,3809.25,0.21,2.47,52.18,-149.27,41.634377,-121.6562777,1811.35
6349MH10,41.598167,-121.65317,2094.1,3747.67,0.18,3.86,81.39,-150.51,41.5980456,-121.6542776,2095.39
77485235,41.552666,-121.65266,1956.9,3772.81,0.06,2.71,68.34,-149.47,41.5525454,-121.6537676,1958.15
5675 ngs,41.579666,-121.6525,2126.5,3737.65,0.05,4.15,83.02,-152.35,41.5795449,-121.6536076,2127.78
77489235,41.591,-121.6525,2096.3,3743.89,0.44,3.71,78.94,-153.1,41.5908788,-121.6536076,2097.59
6349MH11,41.600334,-121.6525,2103.4,3747.81,0.23,4.05,84.21,-148.5,41.6002126,-121.6536076,2104.7
77487017,41.594166,-121.65217,2082.6,3746.5,0.7,3.61,77.04,-153.31,41.5940447,-121.6532776,2083.89
77486235,41.553165,-121.651,1959.9,3772.5,0.06,2.73,68.91,-149.22,41.5530444,-121.6521076,1961.15
77482017,41.581001,-121.64867,2122.7,3737,0.05,3.96,81.08,-154.05,41.58088,-121.6497775,2123.98
77485235,41.622501,-121.6485,1990.3,3772.64,0.39,3.44,72.19,-148.3,41.6223793,-121.6496075,1991.57
27130231,41.691666,-121.64,1583.4,3851.31,0.16,1.49,19.23,-157.81,41.6915432,-121.6411073,1584.59
2713 ngs,41.691666,-121.63983,1583.4,3851.3,0.16,1.5,19.22,-157.81,41.6915432,-121.6409373,1584.59
77489235,41.537666,-121.63917,1861.9,3788.19,0.32,2.3,55.79,-151.53,41.5375458,-121.6402772,1863.14
77488017,41.596668,-121.639,2131.4,3737.89,0.04,3.96,83.25,-152.87,41.5965468,-121.6401072,2132.69
77484235,41.628166,-121.639,2012.7,3767.75,0.26,3.63,73.69,-149.25,41.6280443,-121.6401072,2013.97
2713 ngs,41.579666,-121.63834,2126.6,3737.6,0.02,3.85,83,-152.71,41.5795451,-121.6394472,2127.87
27130191,41.579666,-121.63834,2126.6,3737.58,0.02,3.85,82.98,-152.73,41.5795451,-121.6394472,2127.87
77484017,41.5825,-121.63817,2108.6,3741.81,0.3,3.61,81.41,-152.25,41.582379,-121.6392772,2109.88
77488235,41.530998,-121.63517,1828.2,3791.69,0.09,2.15,49.5,-154.42,41.5308779,-121.6362771,1829.43
774813,41.526501,-121.63167,1809.6,3795.44,0.04,2.06,47.92,-154.05,41.526381,-121.632777,1810.83
77480235,41.545166,-121.631,1940.2,3775.14,0.17,2.78,66.19,-149.57,41.5450457,-121.632107,1941.45
77483017,41.581665,-121.62967,2102.8,3744.44,0.3,3.5,82.33,-150.79,41.5815441,-121.630777,2104.07
77486235,41.526669,-121.6295,1802.2,3796.25,0.09,2.07,46.43,-154.65,41.526549,-121.6306069,1803.43
77483235,41.628666,-121.62867,2050.3,3761.25,0.15,3.79,78.74,-148.37,41.6285443,-121.6297769,2051.56
2713 ngs,41.581665,-121.62833,2121.4,3742.6,0.07,3.7,86.22,-149.01,41.5815441,-121.6294369,2122.67
27130238,41.581665,-121.62833,2121.4,3742.62,0.07,3.7,86.24,-148.99,41.5815441,-121.6294369,2122.67
77489017,41.602665,-121.62817,2160.4,3733.75,0.18,4.35,87.5,-151.33,41.6025438,-121.6292769,2161.68
77485235,41.591499,-121.6275,2055.4,3758.39,0.7,3.18,80.79,-146.95,41.591378,-121.6286069,2056.68
77483017,41.5755,-121.62566,2133.8,3740.94,0.04,3.92,88.94,-147.49,41.5753793,-121.6267668,2135.07
77481017,41.583668,-121.6235,2061.6,3755.44,0.36,3.2,80.45,-148.29,41.5835471,-121.6246068,2062.87
77480017,41.609665,-121.62317,2120.6,3743.81,0.08,3.86,84.67,-150.3,41.6095437,-121.6242768,2121.88
77486235,41.5905,-121.623,2052.3,3763.44,0.33,3.15,84.97,-142.81,41.590379,-121.6241068,2053.58
77487235,41.514999,-121.6225,1765.7,3800.64,0.27,1.88,40.62,-156.38,41.5148793,-121.6236067,1766.92
77482235,41.599998,-121.6225,2086.9,3755.56,0.36,3.37,86.9,-144.51,41.5998769,-121.6236068,2088.18
77481017,41.580502,-121.62067,2103.1,3744.19,0.24,3.51,82.28,-150.93,41.5803812,-121.6217767,2104.37
77483235,41.602665,-121.6195,2079.4,3759.5,0.46,3.36,88.29,-142.19,41.6025439,-121.6206067,2080.68
77484017,41.5755,-121.61916,2114.3,3745.25,0.25,3.69,87.24,-147.03,41.5753793,-121.6202666,2115.57
77482235,41.630001,-121.61867,2070.9,3757.56,0.1,3.9,81.27,-148.07,41.6298794,-121.6197767,2072.16
77481017,41.613667,-121.6185,2126.6,3742.06,0.27,4,84.41,-150.9,41.6135457,-121.6196067,2127.87
2713 ngs,41.676834,-121.61833,1786.4,3808.71,0.44,2.25,40.53,-158.25,41.6767116,-121.6194367,1787.62
27130230,41.676834,-121.61833,1786.4,3808.74,0.44,2.25,40.56,-158.22,41.6767116,-121.6194367,1787.62
77483017,41.672668,-121.61816,1789.4,3808.94,0.35,2.21,42.06,-157.18,41.6725457,-121.6192667,1790.62
7748LB,41.581001,-121.61767,2045.5,3763.14,0.33,3.15,83.43,-143.59,41.5808802,-121.6187766,2046.77
77484235,41.596169,-121.61667,2064.6,3757.14,0.12,3.18,81.95,-147.39,41.596048,-121.6177766,2065.88
2720 ngs,41.622334,-121.61467,2104.6,3749.9,0.21,4.03,84.69,-148.19,41.6222126,-121.6157766,2105.87
27200769,41.622334,-121.61467,2104.6,3749.89,0.21,4.03,84.68,-148.2,41.6222126,-121.6157766,2105.87
77481235,41.586166,-121.6145,2038.1,3762.75,0.2,3.03,80.29,-146.15,41.5860452,-121.6156065,2039.37
27200768,41.586166,-121.6135,2045.2,3762.6,0.06,3.04,82.33,-145.04,41.5860452,-121.6146065,2046.47
2720 ngs,41.586166,-121.61333,2045.2,3762.6,0.06,3.04,82.33,-145.04,41.5860452,-121.6144365,2046.47
2773 ngs,41.586334,-121.61333,2047.9,3762.8,0.04,3.04,83.35,-144.34,41.5862132,-121.6144365,2049.17
