#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
2267 ngs,47.495335,-123.29933,228.3,4762.71,5.33,12.97,-11.54,-19.12,47.4951453,-123.300604,229.41
22670178,47.495499,-123.29933,228.3,4762.72,5.84,13.06,-11.55,-18.52,47.4953093,-123.300604,229.41
4506 ngs,48.110832,-123.29884,77.9,4845.9,0.07,1.19,-30.2,-37.78,48.1106458,-123.3001335,79
5198 ngs,47.865833,-123.29867,2008.6,4378.21,8.52,24.81,119.37,-73.67,47.8656464,-123.299958,2009.93
51980110,47.865833,-123.29867,2008.6,4378.22,8.52,24.81,119.38,-73.66,47.8656464,-123.299958,2009.93
4506 ngs,48.0005,-123.29867,518.9,4745.4,0.41,4.97,15.23,-38.15,48.0003135,-123.2999626,520.02
2267 ngs,47.135334,-123.29833,110.3,4806.3,0.1,0.16,28.14,15.9,47.1351484,-123.2995966,111.34
22670057,47.135502,-123.29833,110.3,4806.26,0.11,0.16,28.09,15.85,47.1353164,-123.2995966,111.34
51980111,47.909168,-123.296,1808.4,4429.23,12.06,24.12,104.79,-62.96,47.9089819,-123.2972894,1809.66
5198 ngs,47.909168,-123.29583,1808.4,4429.21,13.39,24.17,104.77,-61.6,47.9089819,-123.2971194,1809.66
22670027,47.055668,-123.291,71.9,4803.57,0.06,0.13,20.76,12.8,47.0554847,-123.2922652,72.93
2267 ngs,47.055668,-123.29083,71.9,4803.6,0.06,0.13,20.79,12.83,47.0554847,-123.2920952,72.93
2267 ngs,48.096333,-123.29034,101.8,4837,0.08,1.34,-30.43,-40.55,48.0961469,-123.2916331,102.9
35440000,47.055,-123.29,72.5,4803.51,0.08,0.13,20.95,12.94,47.0548168,-123.2912651,73.53
2267 ngs,47.339333,-123.28983,175,4791.5,0.49,1.18,14.88,-3.28,47.339146,-123.2911,176.06
3544 ngs,47.054832,-123.28983,72.5,4803.5,0.09,0.13,20.95,12.95,47.0546488,-123.2910951,73.53
2267 ngs,47.239834,-123.28867,133.5,4802.4,0.05,0.17,21.96,7.05,47.2396452,-123.2899377,134.55
22670050,47.240002,-123.28867,133.5,4802.42,0.05,0.17,21.97,7.06,47.2398132,-123.2899377,134.55
4506 ngs,47.074333,-123.2875,85.3,4804,0.19,0.15,23.64,14.31,47.0741492,-123.2887653,86.33
2267 ngs,47.390335,-123.28733,250.9,4788.6,0.3,1.56,30.79,4.22,47.3901471,-123.2886011,251.98
2267 ngs,47.358833,-123.28316,202.1,4789.1,0.24,1.14,19.08,-2.44,47.3586457,-123.2844303,203.17
22670163,47.359001,-123.28316,202.1,4789.07,0.24,1.14,19.04,-2.49,47.3588137,-123.2844303,203.17
22670290,48.0215,-123.2745,490.1,4751.68,0.45,3.52,10.73,-40.79,48.0213137,-123.2757921,491.21
2267 ngs,48.021332,-123.27433,490.1,4751.71,0.46,3.52,10.78,-40.74,48.0211457,-123.2756221,491.21
22672009,47.805,-123.274,1060.4,4561.74,6.02,15.43,16.13,-82.28,47.804813,-123.2752852,1061.71
2267 ngs,48.036667,-123.27383,343.8,4779.9,0.09,2.67,-7.53,-43.71,48.0364808,-123.2751222,344.9
22670289,48.036667,-123.27383,343.8,4779.89,0.09,2.67,-7.54,-43.72,48.0364808,-123.2751222,344.9
2267 ngs,47.804832,-123.27383,1060.4,4561.71,5.96,15.37,16.12,-82.42,47.804645,-123.2751152,1061.71
4506 ngs,48.059166,-123.2735,263.6,4795.3,0.58,2.05,-18.88,-46.12,48.0589799,-123.2747924,264.7
4506 ngs,47.180332,-123.2725,123.9,4806.6,0.21,0.1,28.58,14.84,47.1801448,-123.2737663,124.94
22670030,47.070332,-123.268,91.4,4811.14,0.31,0.13,33.02,23.1,47.0701483,-123.2692645,92.43
2267 ngs,47.070332,-123.26783,91.4,4811.1,0.29,0.13,32.98,23.04,47.0701483,-123.2690945,92.43
4506 ngs,47.233002,-123.26417,117.1,4805.71,0.01,0.12,20.83,7.69,47.2328131,-123.2654369,118.15
22670026,47.055,-123.264,78.3,4813.03,0.82,0.23,32.26,24.43,47.0548167,-123.2652641,79.33
2267 ngs,47.054832,-123.26383,78.3,4813,0.77,0.24,32.24,24.38,47.0546487,-123.2650941,79.33
2267 ngs,47.784168,-123.26133,924.8,4586.6,5.72,15.14,1.07,-82.66,47.7839808,-123.2626141,926.09
22672008,47.784168,-123.26133,924.8,4586.62,5.72,15.14,1.09,-82.64,47.7839808,-123.2626141,926.09
2267 ngs,47.726665,-123.25917,858,4594.8,1.4,13.08,-6.15,-88.71,47.7264776,-123.2604519,859.25
22672002,47.726665,-123.25917,858,4594.82,1.4,13.08,-6.13,-88.69,47.7264776,-123.2604519,859.25
2267 ngs,47.495667,-123.25784,239.6,4768.9,3.03,12.59,-1.9,-13.43,47.4954772,-123.2591126,240.71
22670177,47.495667,-123.25784,239.6,4768.92,3.03,12.59,-1.88,-13.41,47.4954772,-123.2591126,240.71
4506 ngs,47.297333,-123.25733,143.6,4791.1,0.32,0.42,8.59,-6.95,47.2971469,-123.258598,144.66
2267 ngs,47.418335,-123.25633,323.7,4772.4,1.23,2.2,34.51,1.27,47.4181466,-123.2576008,324.79
22670167,47.418335,-123.25633,323.7,4772.37,1.23,2.2,34.48,1.24,47.4181466,-123.2576008,324.79
2267 ngs,47.079666,-123.25217,104.9,4812.21,0.14,0.16,37.41,25.82,47.0794819,-123.2534341,105.93
22670031,47.079666,-123.25217,104.9,4812.22,0.14,0.16,37.42,25.83,47.0794819,-123.2534341,105.93
2267 ngs,47.146332,-123.25117,143.6,4805.6,0.42,0.09,36.72,20.95,47.1461458,-123.2524351,144.65
22670058,47.1465,-123.25117,143.6,4805.64,0.43,0.09,36.75,20.99,47.1463138,-123.2524351,144.65
35980660,48.09,-123.25,92.7,4838.1,0.2,1.36,-31.56,-40.52,48.0898144,-123.251292,93.79
3598 ngs,48.089832,-123.24983,92.7,4838.1,0.18,1.37,-31.55,-40.51,48.0896464,-123.251122,93.79
3544 ngs,48.106667,-123.24667,49.1,4850.3,0.13,1.07,-34.31,-38.68,48.1064815,-123.2479621,50.19
