sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
4687 ngs,44.033501,-111.43767,1618.4,4035.01,0,-0.09,2.44,-180.27,44.0334148,-111.4384579,1619.48
46870357,44.467834,-111.4375,1943.7,3999.78,0.77,0.83,28.17,-189.33,44.4677539,-111.4382897,1944.92
4687 ngs,44.046165,-111.4375,1614.5,4037.85,0,-0.08,2.94,-179.33,44.0460789,-111.4382879,1615.58
6755Q352,44.878166,-111.43733,2755.4,3860.9,0.92,5.84,102.26,-200.79,44.8780921,-111.4381225,2756.78
46870362,44.459,-111.43684,1938.2,3999.37,0.48,0.58,26.86,-190.56,44.4589197,-111.4376296,1939.41
51771448,44.435001,-111.4365,1928.5,3996.5,0.02,0.27,23.18,-193.93,44.4349202,-111.4372895,1929.7
5177 ngs,44.434834,-111.43633,1928.5,3996.5,0.02,0.27,23.19,-193.92,44.4347532,-111.4371195,1929.7
46870383,44.435333,-111.43633,1928.4,3996.24,0.02,0.27,22.86,-194.24,44.4352522,-111.4371195,1929.6
3498 ngs,44.605667,-111.43616,1994.3,3994.5,0.09,2.06,26.01,-196.61,44.6055886,-111.4369505,1995.55
3498WG04,44.605667,-111.43616,1994.3,3994.53,0.09,2.06,26.04,-196.58,44.6055886,-111.4369505,1995.55
3498 ngs,44.695835,-111.43584,2103.4,3979.3,0.75,4.67,36.27,-195.3,44.6957584,-111.4366311,2104.67
