#sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
27130342,41.411167,-121.90334,1422.2,3856.28,0.07,1.44,-0.3,-159.37,41.411045,-121.9044522,1423.38
774816,41.349167,-121.90217,1631.6,3806.81,3.45,4.9,20.35,-155.41,41.3490466,-121.9032809,1632.78
2713 ngs,41.850834,-121.90166,1291.7,3928.1,0.17,0.67,-8.22,-153.28,41.8507052,-121.9027747,1292.86
774805,41.383167,-121.90117,1356.8,3868.39,0.12,1.71,-5.84,-157.23,41.3830457,-121.9022816,1357.97
2773 ngs,41.959835,-121.90067,1293.9,3945.6,0.16,0.3,0.16,-145.53,41.9597034,-121.9017849,1295.04
2773  55,41.959999,-121.90067,1293.9,3945.58,0.17,0.3,0.12,-145.56,41.9598674,-121.9017849,1295.04
27130351,41.516666,-121.9,1692.2,3806.53,0.52,2.11,23.71,-164.56,41.5165434,-121.9011141,1693.45
2713 ngs,41.516666,-121.89983,1692.2,3806.5,0.56,2.12,23.68,-164.54,41.5165434,-121.9009441,1693.45
2773 ngs,41.685165,-121.89967,1387.1,3878.9,0.17,0.99,-13.11,-168.58,41.6850385,-121.9007844,1388.3
2773 395,41.685165,-121.89967,1387.1,3878.92,0.17,0.99,-13.09,-168.56,41.6850385,-121.9007844,1388.3
5675 250,41.434666,-121.89933,1468.2,3846.04,0.06,1.85,1.53,-162.31,41.4345434,-121.9004426,1469.4
5675 ngs,41.851002,-121.89833,1291.7,3928.19,0.21,0.74,-8.14,-153.1,41.8508732,-121.8994446,1292.86
2713 ngs,41.528831,-121.89833,1627.9,3819.6,0.37,2.02,15.87,-165.43,41.5287081,-121.8994441,1629.14
27130352,41.528999,-121.89833,1627.9,3819.57,0.38,2.01,15.82,-165.48,41.5288761,-121.8994441,1629.14
5675  89,41.990166,-121.89667,1252.7,3959.53,0.29,0.4,-1.34,-142.17,41.9900337,-121.8977848,1253.82
2713 ngs,41.386833,-121.89667,1386.5,3862.3,0.06,1.6,-3.1,-158.01,41.3867116,-121.8977816,1387.67
5675 ngs,41.389999,-121.89667,1386.5,3862.33,0.11,1.6,-3.36,-158.21,41.3898775,-121.8977816,1387.67
2713 ngs,41.434666,-121.89667,1468.2,3846.9,0.06,1.74,2.39,-161.56,41.4345434,-121.8977826,1469.4
2773 ngs,41.400833,-121.89616,1418,3857.1,0.22,1.42,0.15,-158.31,41.4007113,-121.8972719,1419.17
5025 ngs,41.990334,-121.896,1251.5,3961.9,0.32,0.4,0.64,-140.02,41.9902017,-121.8971147,1252.62
5675 ngs,41.398998,-121.89584,1418.2,3857.01,0.15,1.43,0.29,-158.26,41.3988763,-121.8969518,1419.37
2773 ngs,41.765335,-121.89567,1335.2,3901.5,0.02,0.69,-13.72,-163.8,41.7652084,-121.8967844,1336.38
2773  62,41.765335,-121.89567,1335.2,3901.54,0.02,0.69,-13.68,-163.76,41.7652084,-121.8967844,1336.38
27130213,41.765167,-121.895,1335,3901.21,0.02,0.69,-14.05,-164.12,41.7650405,-121.8961144,1336.18
2720 ngs,41.764832,-121.89484,1335,3901.21,0.02,0.68,-14.02,-164.1,41.7647055,-121.8959544,1336.18
2713 ngs,41.765167,-121.89484,1335,3901.21,0.02,0.69,-14.05,-164.12,41.7650405,-121.8959544,1336.18
2713 ngs,41.990166,-121.89333,1252.7,3960.3,0.36,0.36,-0.57,-141.37,41.9900337,-121.8944446,1253.82
4464 ngs,41.990166,-121.89333,1252.7,3958.4,0.36,0.36,-2.47,-143.27,41.9900337,-121.8944446,1253.82
2713 ngs,41.398834,-121.89333,1418.2,3856.9,0.36,1.47,0.19,-158.1,41.3987123,-121.8944418,1419.37
774813,41.340668,-121.89267,1863.6,3748.39,3.95,11,34.2,-160.98,41.3405478,-121.8937805,1864.77
5675 ngs,41.596169,-121.891,1449.6,3861.29,0.01,1.06,-3.46,-166.04,41.5960446,-121.892114,1450.79
27200759,41.404167,-121.891,1459.8,3846.79,0.04,1.35,2.43,-160.98,41.4040451,-121.8921118,1460.98
2720 ngs,41.404167,-121.89083,1459.8,3846.8,0.04,1.35,2.44,-160.97,41.4040451,-121.8919418,1460.98
27130350,41.499832,-121.89,1688.6,3805.36,0.57,2.06,22.94,-164.93,41.4997077,-121.8911138,1689.86
2713 ngs,41.499832,-121.88983,1688.6,3805.4,0.59,2.06,22.98,-164.87,41.4997077,-121.8909438,1689.86
774814,41.343498,-121.88966,1981.8,3722.5,4.52,14.82,44.48,-159.55,41.3433777,-121.8907705,1982.97
5675 160,41.740833,-121.8885,1338.6,3891.58,0.05,0.75,-20.39,-170.77,41.7407052,-121.8896141,1339.77
2713 ngs,41.891335,-121.88834,1291.4,3932.3,0.14,1.09,-7.75,-152.39,41.8912052,-121.8894543,1292.56
